run,layer,component,expert,matrix,l2,maxabs,kurtosis
g1_moe,2,router_row,48,router,0.938207,0.154297,-0.391582
g1_moe,2,router_row,49,router,0.93244,0.164062,-0.469671
g1_moe,2,router_row,50,router,0.92284,0.163086,-0.509636
g1_moe,2,router_row,51,router,0.956688,0.177734,-0.543185
g1_moe,2,router_row,52,router,0.794305,0.108887,-0.988801
g1_moe,2,router_row,53,router,1.05867,0.182617,-0.198694
g1_moe,2,router_row,54,router,0.984934,0.169922,-0.359052
g1_moe,2,router_row,55,router,0.902453,0.138672,-0.55831
g1_moe,2,router_row,56,router,0.930942,0.15332,-0.570674
g1_moe,2,router_row,57,router,0.954572,0.148438,-0.547408
g1_moe,2,router_row,58,router,1.00067,0.19043,-0.193866
g1_moe,2,router_row,59,router,0.907394,0.152344,-0.625363
g1_moe,2,router_row,60,router,0.937028,0.152344,-0.356964
g1_moe,2,router_row,61,router,0.864928,0.154297,-0.229483
g1_moe,2,router_row,62,router,0.944473,0.203125,0.0939714
g1_moe,2,router_row,63,router,1.04084,0.1875,-0.309094
g1_moe,2,shared,,fc1,8.37253,0.0913086,0.0163649
g1_moe,2,shared,,fc2,2.02031,0.0368652,0.151054
g1_moe,3,routed,0,fc1,8.8073,0.168945,0.480651
g1_moe,3,routed,1,fc1,8.85097,0.172852,0.35
g1_moe,3,routed,2,fc1,8.3743,0.1875,0.439203
g1_moe,3,routed,3,fc1,8.66262,0.158203,0.388307
g1_moe,3,routed,4,fc1,8.83759,0.166016,0.456178
g1_moe,3,routed,5,fc1,8.21098,0.158203,0.406932
g1_moe,3,routed,6,fc1,9.11793,0.185547,0.452399
g1_moe,3,routed,7,fc1,8.5939,0.169922,0.509352
g1_moe,3,routed,8,fc1,8.87746,0.18457,0.490333
g1_moe,3,routed,9,fc1,8.88077,0.157227,0.43947
g1_moe,3,routed,10,fc1,8.53209,0.162109,0.383968
g1_moe,3,routed,11,fc1,9.12835,0.175781,0.474846
g1_moe,3,routed,12,fc1,8.03986,0.150391,0.384052
g1_moe,3,routed,13,fc1,9.04742,0.15918,0.548826
g1_moe,3,routed,14,fc1,8.85974,0.172852,0.518256
g1_moe,3,routed,15,fc1,8.99237,0.183594,0.666234
g1_moe,3,routed,16,fc1,8.69011,0.171875,0.446854
g1_moe,3,routed,17,fc1,8.93209,0.165039,0.420344
g1_moe,3,routed,18,fc1,8.40653,0.144531,0.324069
