# substitution tolerance: per-token CE delta (arm minus unperturbed) on cached test micro-batches; BPB = CE/2.9780 (pythia-50k runs) or CE/2.7568 (tok16k 1e17); 95% percentile bootstrap over documents, 2000 resamples; producer analysis/residency/substitution_tolerance.py from analysis/probes/substitution_eval.py .npz records
run,budget,regime,grain,experts,topk,seed,condition,gate,fraction,layer,n_tokens,n_docs,ref_ce,ref_bpb,delta_ce,delta_ce_lo95,delta_ce_hi95,delta_bpb,delta_bpb_lo95,delta_bpb_hi95,hook_calls,subs_per_token_layer,replay_drift
flame38m_g1_temporal_s3,1e18,temporal,1,64,6,3,random,inherit,matched,all,1048576,1322,3.931582,1.3202,0.142694,0.140454,0.145041,0.0479,0.0472,0.0487,128,1.000,0.00e+00
flame38m_g1_temporal_s3,1e18,temporal,1,64,6,3,nextbest,own,matched,all,1048576,1322,3.931582,1.3202,0.092517,0.090623,0.094582,0.0311,0.0304,0.0318,128,1.000,0.00e+00
flame38m_g1_temporal_s3,1e18,temporal,1,64,6,3,nextbest,inherit,matched,all,1048576,1322,3.931582,1.3202,0.111239,0.109085,0.113740,0.0374,0.0366,0.0382,128,1.000,0.00e+00
flame38m_g1_temporal_s3,1e18,temporal,1,64,6,3,stale,own,matched,all,1048576,1322,3.931582,1.3202,0.104285,0.102426,0.106195,0.0350,0.0344,0.0357,128,0.999,0.00e+00
flame38m_g1_temporal_s3,1e18,temporal,1,64,6,3,stale,inherit,matched,all,1048576,1322,3.931582,1.3202,0.141171,0.138942,0.143465,0.0474,0.0467,0.0482,128,0.999,0.00e+00
flame38m_g1_temporal_s3,1e18,temporal,1,64,6,3,zero,-,matched,all,1048576,1322,3.931582,1.3202,0.109550,0.107539,0.111723,0.0368,0.0361,0.0375,128,1.000,0.00e+00
flame38m_g1_temporal_s3,1e18,temporal,1,64,6,3,random,own,matched,L2,1048576,1322,3.931582,1.3202,0.011128,0.010382,0.012004,0.0037,0.0035,0.0040,16,1.000,0.00e+00
flame38m_g1_temporal_s3,1e18,temporal,1,64,6,3,random,own,matched,L3,1048576,1322,3.931582,1.3202,0.018908,0.018303,0.019545,0.0063,0.0061,0.0066,16,1.000,0.00e+00
flame38m_g1_temporal_s3,1e18,temporal,1,64,6,3,random,own,matched,L4,1048576,1322,3.931582,1.3202,0.011453,0.010977,0.011913,0.0038,0.0037,0.0040,16,1.000,0.00e+00
flame38m_g1_temporal_s3,1e18,temporal,1,64,6,3,random,own,matched,L5,1048576,1322,3.931582,1.3202,0.011090,0.010627,0.011519,0.0037,0.0036,0.0039,16,1.000,0.00e+00
flame38m_g1_temporal_s3,1e18,temporal,1,64,6,3,random,own,matched,L6,1048576,1322,3.931582,1.3202,0.009351,0.008950,0.009723,0.0031,0.0030,0.0033,16,1.000,0.00e+00
flame38m_g1_temporal_s3,1e18,temporal,1,64,6,3,random,own,matched,L7,1048576,1322,3.931582,1.3202,0.010426,0.010048,0.010757,0.0035,0.0034,0.0036,16,1.000,0.00e+00
