"# AUTHORITATIVE ROWS ONLY: one row per (record, arm, task, metric), all from the single-pass sampled protocol (never greedy; eos-only stops; thinking stripped before scoring; budgets in max_gen_toks) or the bespoke producers listed in DATA_CONTRACT.md. Full history: superseded/instruct_genbench_vllm_history.csv"
model,E,k,arm,R,task,metric,value,limit,max_gen_toks,secs
gptoss_20b_high,32,4,free,,ifeval,"inst_level_loose_acc,none",0.845912,200,8192,297
gptoss_20b_high,32,4,R4,4,ifeval,sample_len,200.000000,200,8192,546
gptoss_20b_high,32,4,R4,4,ifeval,"prompt_level_strict_acc,none",0.760000,200,8192,546
gptoss_20b_high,32,4,R4,4,ifeval,"inst_level_strict_acc,none",0.823899,200,8192,546
gptoss_20b_high,32,4,R4,4,ifeval,"prompt_level_loose_acc,none",0.770000,200,8192,546
gptoss_20b_high,32,4,R4,4,ifeval,"inst_level_loose_acc,none",0.830189,200,8192,546
gptoss_120b_low,128,4,free,,ifeval,sample_len,200.000000,200,8192,401
gptoss_120b_low,128,4,free,,ifeval,"prompt_level_strict_acc,none",0.760000,200,8192,401
gptoss_120b_low,128,4,free,,ifeval,"inst_level_strict_acc,none",0.842767,200,8192,401
gptoss_120b_low,128,4,free,,ifeval,"prompt_level_loose_acc,none",0.805000,200,8192,401
gptoss_120b_low,128,4,free,,ifeval,"inst_level_loose_acc,none",0.874214,200,8192,401
gptoss_120b_low,128,4,R4,4,ifeval,sample_len,200.000000,200,8192,673
gptoss_120b_low,128,4,R4,4,ifeval,"prompt_level_strict_acc,none",0.740000,200,8192,673
gptoss_120b_low,128,4,R4,4,ifeval,"inst_level_strict_acc,none",0.827044,200,8192,673
gptoss_120b_low,128,4,R4,4,ifeval,"prompt_level_loose_acc,none",0.795000,200,8192,673
gptoss_120b_low,128,4,R4,4,ifeval,"inst_level_loose_acc,none",0.864780,200,8192,673
gptoss_120b_low,128,4,R16,16,ifeval,sample_len,200.000000,200,8192,675
gptoss_120b_low,128,4,R16,16,ifeval,"prompt_level_strict_acc,none",0.715000,200,8192,675
gptoss_120b_low,128,4,R16,16,ifeval,"inst_level_strict_acc,none",0.811321,200,8192,675
gptoss_120b_low,128,4,R16,16,ifeval,"prompt_level_loose_acc,none",0.760000,200,8192,675
gptoss_120b_low,128,4,R16,16,ifeval,"inst_level_loose_acc,none",0.842767,200,8192,675
gptoss_120b,128,4,free,,ifeval,sample_len,200.000000,200,8192,406
gptoss_120b,128,4,free,,ifeval,"prompt_level_strict_acc,none",0.830000,200,8192,406
gptoss_120b,128,4,free,,ifeval,"inst_level_strict_acc,none",0.893082,200,8192,406
gptoss_120b,128,4,free,,ifeval,"prompt_level_loose_acc,none",0.855000,200,8192,406
gptoss_120b,128,4,free,,ifeval,"inst_level_loose_acc,none",0.908805,200,8192,406
gptoss_120b,128,4,R4,4,ifeval,sample_len,200.000000,200,8192,697
gptoss_120b,128,4,R4,4,ifeval,"prompt_level_strict_acc,none",0.835000,200,8192,697
gptoss_120b,128,4,R4,4,ifeval,"inst_level_strict_acc,none",0.889937,200,8192,697
gptoss_120b,128,4,R4,4,ifeval,"prompt_level_loose_acc,none",0.850000,200,8192,697
gptoss_120b,128,4,R4,4,ifeval,"inst_level_loose_acc,none",0.905660,200,8192,697
gptoss_120b,128,4,R16,16,ifeval,sample_len,200.000000,200,8192,717
gptoss_120b,128,4,R16,16,ifeval,"prompt_level_strict_acc,none",0.805000,200,8192,717
gptoss_120b,128,4,R16,16,ifeval,"inst_level_strict_acc,none",0.877358,200,8192,717
gptoss_120b,128,4,R16,16,ifeval,"prompt_level_loose_acc,none",0.825000,200,8192,717
gptoss_120b,128,4,R16,16,ifeval,"inst_level_loose_acc,none",0.889937,200,8192,717
gptoss_120b_high,128,4,free,,ifeval,sample_len,200.000000,200,8192,413
gptoss_120b_high,128,4,free,,ifeval,"prompt_level_strict_acc,none",0.845000,200,8192,413
gptoss_120b_high,128,4,free,,ifeval,"inst_level_strict_acc,none",0.893082,200,8192,413
gptoss_120b_high,128,4,free,,ifeval,"prompt_level_loose_acc,none",0.860000,200,8192,413
gptoss_120b_high,128,4,free,,ifeval,"inst_level_loose_acc,none",0.902516,200,8192,413
gptoss_120b_high,128,4,R4,4,ifeval,sample_len,200.000000,200,8192,1356
gptoss_120b_high,128,4,R4,4,ifeval,"prompt_level_strict_acc,none",0.840000,200,8192,1356
gptoss_120b_high,128,4,R4,4,ifeval,"inst_level_strict_acc,none",0.893082,200,8192,1356
gptoss_120b_high,128,4,R4,4,ifeval,"prompt_level_loose_acc,none",0.855000,200,8192,1356
gptoss_120b_high,128,4,R4,4,ifeval,"inst_level_loose_acc,none",0.902516,200,8192,1356
gptoss_120b_high,128,4,R16,16,ifeval,sample_len,200.000000,200,8192,1257
gptoss_120b_high,128,4,R16,16,ifeval,"prompt_level_strict_acc,none",0.835000,200,8192,1257
gptoss_120b_high,128,4,R16,16,ifeval,"inst_level_strict_acc,none",0.886792,200,8192,1257
gptoss_120b_high,128,4,R16,16,ifeval,"prompt_level_loose_acc,none",0.845000,200,8192,1257
gptoss_120b_high,128,4,R16,16,ifeval,"inst_level_loose_acc,none",0.893082,200,8192,1257
gemma4_instruct,128,8,free,,mmlu_flan_cot_fewshot,sample_len,228.000000,4,2048,116
