"# Downstream 10-task 0-shot for free-set cells. base_free / impose_R8 / CE_adapt_R8 are reused verbatim from olmoe_downstream_ref.csv (correct convention, gate_mass=preserve; rows before 08-08 joined the renorm-era reference instead — see downstream.py header). cell_gap_closed = (cell - impose)/(base_free - impose): 1.0 is free-routing quality, 0.0 is the untrained mask. Higher is better."
task,metric,base_free,impose_R8,CE_adapt_R8,cell_acc,cell_se,cell_minus_base,cell_minus_CE,cell_gap_closed,CE_gap_closed,cell,free_set,train_tokens,cell_bpb
openbookqa,acc_norm,0.4440,0.3740,0.3680,0.3780,0.0217,-0.0660,+0.0100,0.0571,-0.0857,ce_free_0_1_14_15_attn_250M,"0,1,14,15",250019840,0.783079
sciq,acc,0.9380,0.9150,0.9270,0.9360,0.0077,-0.0020,+0.0090,0.9130,0.5217,ce_free_0_1_14_15_attn_250M,"0,1,14,15",250019840,0.783079
sciq,acc_norm,0.9230,0.9110,0.9150,0.9120,0.0090,-0.0110,-0.0030,0.0833,0.3333,ce_free_0_1_14_15_attn_250M,"0,1,14,15",250019840,0.783079
boolq,acc,0.7012,0.6309,0.6440,0.6367,0.0084,-0.0645,-0.0073,0.0825,0.1863,ce_free_0_1_14_15_attn_250M,"0,1,14,15",250019840,0.783079
lambada_openai,acc,0.7056,0.4460,0.5791,0.5997,0.0068,-0.1059,+0.0206,0.5921,0.5127,ce_free_0_1_14_15_attn_250M,"0,1,14,15",250019840,0.783079
copa,acc,0.8500,0.7500,0.7800,0.7800,0.0416,-0.0700,+0.0000,0.3000,0.3000,ce_free_0_1_14_15_attn_250M,"0,1,14,15",250019840,0.783079
arc_easy,acc,0.7698,0.6364,0.6713,0.6578,0.0097,-0.1120,-0.0135,0.1604,0.2616,ce_free_0_1_2,"0,1,2",50003968,0.808615
arc_easy,acc_norm,0.7677,0.6166,0.6616,0.6376,0.0099,-0.1301,-0.0240,0.1390,0.2978,ce_free_0_1_2,"0,1,2",50003968,0.808615
arc_challenge,acc,0.4667,0.3055,0.3439,0.3268,0.0137,-0.1399,-0.0171,0.1321,0.2382,ce_free_0_1_2,"0,1,2",50003968,0.808615
arc_challenge,acc_norm,0.4974,0.3430,0.3720,0.3541,0.0140,-0.1433,-0.0179,0.0719,0.1878,ce_free_0_1_2,"0,1,2",50003968,0.808615
hellaswag,acc,0.5847,0.4864,0.4859,0.4715,0.0050,-0.1132,-0.0144,-0.1516,-0.0051,ce_free_0_1_2,"0,1,2",50003968,0.808615
hellaswag,acc_norm,0.7809,0.6608,0.6527,0.6358,0.0048,-0.1451,-0.0169,-0.2082,-0.0674,ce_free_0_1_2,"0,1,2",50003968,0.808615
piqa,acc,0.7845,0.7242,0.7280,0.7274,0.0104,-0.0571,-0.0006,0.0531,0.0630,ce_free_0_1_2,"0,1,2",50003968,0.808615
piqa,acc_norm,0.7971,0.7203,0.7367,0.7356,0.0103,-0.0615,-0.0011,0.1992,0.2135,ce_free_0_1_2,"0,1,2",50003968,0.808615
winogrande,acc,0.6938,0.5691,0.5991,0.5675,0.0139,-0.1263,-0.0316,-0.0128,0.2406,ce_free_0_1_2,"0,1,2",50003968,0.808615
openbookqa,acc,0.3260,0.2600,0.2200,0.2400,0.0191,-0.0860,+0.0200,-0.3030,-0.6061,ce_free_0_1_2,"0,1,2",50003968,0.808615
openbookqa,acc_norm,0.4440,0.3740,0.3680,0.3800,0.0217,-0.0640,+0.0120,0.0857,-0.0857,ce_free_0_1_2,"0,1,2",50003968,0.808615
sciq,acc,0.9380,0.9150,0.9270,0.9140,0.0089,-0.0240,-0.0130,-0.0435,0.5217,ce_free_0_1_2,"0,1,2",50003968,0.808615
sciq,acc_norm,0.9230,0.9110,0.9150,0.9010,0.0094,-0.0220,-0.0140,-0.8333,0.3333,ce_free_0_1_2,"0,1,2",50003968,0.808615
boolq,acc,0.7012,0.6309,0.6440,0.6361,0.0084,-0.0651,-0.0079,0.0740,0.1863,ce_free_0_1_2,"0,1,2",50003968,0.808615
lambada_openai,acc,0.7056,0.4460,0.5791,0.5641,0.0069,-0.1415,-0.0150,0.4549,0.5127,ce_free_0_1_2,"0,1,2",50003968,0.808615
copa,acc,0.8500,0.7500,0.7800,0.7500,0.0435,-0.1000,-0.0300,0.0000,0.3000,ce_free_0_1_2,"0,1,2",50003968,0.808615
arc_easy,acc,0.7698,0.6364,0.6713,0.6721,0.0096,-0.0977,+0.0008,0.2676,0.2616,ce_free2,"0,1",50003968,0.814440
arc_easy,acc_norm,0.7677,0.6166,0.6616,0.6406,0.0098,-0.1271,-0.0210,0.1588,0.2978,ce_free2,"0,1",50003968,0.814440
arc_challenge,acc,0.4667,0.3055,0.3439,0.3379,0.0138,-0.1288,-0.0060,0.2010,0.2382,ce_free2,"0,1",50003968,0.814440
arc_challenge,acc_norm,0.4974,0.3430,0.3720,0.3831,0.0142,-0.1143,+0.0111,0.2597,0.1878,ce_free2,"0,1",50003968,0.814440
hellaswag,acc,0.5847,0.4864,0.4859,0.4670,0.0050,-0.1177,-0.0189,-0.1974,-0.0051,ce_free2,"0,1",50003968,0.814440
hellaswag,acc_norm,0.7809,0.6608,0.6527,0.6256,0.0048,-0.1553,-0.0271,-0.2931,-0.0674,ce_free2,"0,1",50003968,0.814440
