run,budget,regime,grain,ema_beta,layer,swap_rate,set_coverage,mass_coverage
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,0.5,2,0.99985,0.37246,0.42567
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,0.5,3,0.99992,0.44666,0.49769
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,0.5,4,0.99981,0.54263,0.59516
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,0.5,all,0.99986,0.45392,0.50617
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,0.25,2,0.99856,0.55405,0.59088
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,0.25,3,0.99937,0.61197,0.65068
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,0.25,4,0.99684,0.68658,0.72836
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,0.25,all,0.99826,0.61753,0.65664
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,0.1,2,0.98116,0.81655,0.83271
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,0.1,3,0.97367,0.84027,0.85748
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,0.1,4,0.93913,0.86822,0.88779
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,0.1,all,0.96465,0.84168,0.85932
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,1,2,0.99996,0.27523,0.31929
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,1,3,0.99999,0.28365,0.32780
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,1,4,0.99998,0.34762,0.38879
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,1,all,0.99998,0.30217,0.34529
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,0.5,2,0.99998,0.40449,0.46116
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,0.5,3,0.99978,0.41306,0.46580
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,0.5,4,0.99995,0.49412,0.54088
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,0.5,all,0.99990,0.43722,0.48928
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,0.25,2,0.99967,0.56983,0.61503
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,0.25,3,0.99843,0.58051,0.62180
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,0.25,4,0.99835,0.66137,0.69700
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,0.25,all,0.99882,0.60390,0.64461
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,0.1,2,0.98400,0.81118,0.83305
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,0.1,3,0.97067,0.82376,0.84283
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,0.1,4,0.93799,0.87179,0.88734
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,0.1,all,0.96422,0.83558,0.85441
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,1,2,0.99998,0.27751,0.31527
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,1,3,0.99998,0.35416,0.39404
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,1,4,0.99998,0.39496,0.43610
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,1,all,0.99998,0.34221,0.38181
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,0.5,2,0.99987,0.44052,0.47992
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,0.5,3,0.99995,0.50887,0.55818
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,0.5,4,0.99992,0.55374,0.60052
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,0.5,all,0.99991,0.50104,0.54620
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,0.25,2,0.99895,0.63059,0.65969
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,0.25,3,0.99897,0.66942,0.70918
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,0.25,4,0.99745,0.71561,0.75126
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,0.25,all,0.99846,0.67187,0.70671
