group,name,metric,value,note
coverage,audited_slice,n_types_uncovered,455,
coverage,audited_slice,coverage_by_token_full_slice,0.99999982,
coverage,audited_slice,coverage_by_token_eval_subset,0.99999905,
coverage,audited_slice,coverage_by_loss,0.99999785,
coverage,audited_slice,uncovered_target_tokens_eval_subset,1,
coverage,audited_slice,eval_tokens_with_corpus_count_ge_1,0.999999,
coverage,audited_slice,eval_tokens_with_corpus_count_ge_10,0.999997,
coverage,audited_slice,eval_tokens_with_corpus_count_ge_100,0.999922,
coverage,audited_slice,eval_tokens_with_corpus_count_ge_1000,0.993943,
coverage,audited_slice,eval_tokens_with_corpus_count_ge_10000,0.885496,
coverage,audited_slice,median_corpus_count_of_eval_token,429893,
coverage,audited_slice,loss_model,C (router + norm gains),
coverage,audited_slice,eval_bpb_of_scored_model,0.850511,
coverage,audited_slice,divisor,3.1089070924799973,
trainfree,trainfree_r512_init,bpb,2.088235,calib_table_r512.pt
trainfree,trainfree_r512_init,recovery_pct,31.88,calib_table_r512.pt
trainfree,trainfree_r512_init,n_eval_tokens,1048320,
trainfree,trainfree_full_init,bpb,1.973545,calib_table_rfull.pt
trainfree,trainfree_full_init,recovery_pct,37.4,calib_table_rfull.pt
trainfree,trainfree_full_init,n_eval_tokens,1048320,
trainfree,trainfree_r512_at50M,bpb,2.214171,calib_table_r512_at50M.pt
trainfree,trainfree_r512_at50M,recovery_pct,25.82,calib_table_r512_at50M.pt
trainfree,trainfree_r512_at50M,n_eval_tokens,1048320,
trainfree,trainfree_r512_at50M_fixed,bpb,1.639911,calib_table_r512_at50M.pt
trainfree,trainfree_r512_at50M_fixed,recovery_pct,53.45,calib_table_r512_at50M.pt
trainfree,trainfree_r512_at50M_fixed,n_eval_tokens,1048320,
trainfree,p4_ce_ple_128,bpb,0.83273,ple_table_ce_ple_128.pt
trainfree,p4_ce_ple_128,recovery_pct,92.3,ple_table_ce_ple_128.pt
trainfree,p4_ce_ple_128,n_eval_tokens,1048320,
trainfree,p4_ce_ple_128/occ_0,bpb,2.484513,ple_table_ce_ple_128.pt
trainfree,p4_ce_ple_128/occ_0,recovery_pct,12.81,ple_table_ce_ple_128.pt
trainfree,p4_ce_ple_128/occ_0,n_eval_tokens,1,
trainfree,p4_ce_ple_128/occ_1-9,bpb,1.323893,ple_table_ce_ple_128.pt
trainfree,p4_ce_ple_128/occ_1-9,recovery_pct,68.66,ple_table_ce_ple_128.pt
trainfree,p4_ce_ple_128/occ_1-9,n_eval_tokens,2,
trainfree,p4_ce_ple_128/occ_10-99,bpb,1.434389,ple_table_ce_ple_128.pt
trainfree,p4_ce_ple_128/occ_10-99,recovery_pct,63.35,ple_table_ce_ple_128.pt
trainfree,p4_ce_ple_128/occ_10-99,n_eval_tokens,79,
trainfree,p4_ce_ple_128/occ_100-999,bpb,1.123972,ple_table_ce_ple_128.pt
trainfree,p4_ce_ple_128/occ_100-999,recovery_pct,78.28,ple_table_ce_ple_128.pt
trainfree,p4_ce_ple_128/occ_100-999,n_eval_tokens,6268,
trainfree,p4_ce_ple_128/occ_1000-9999,bpb,1.258027,ple_table_ce_ple_128.pt
trainfree,p4_ce_ple_128/occ_1000-9999,recovery_pct,71.83,ple_table_ce_ple_128.pt
trainfree,p4_ce_ple_128/occ_1000-9999,n_eval_tokens,113687,
trainfree,p4_ce_ple_128/occ_10000-99999,bpb,1.11541,ple_table_ce_ple_128.pt
trainfree,p4_ce_ple_128/occ_10000-99999,recovery_pct,78.7,ple_table_ce_ple_128.pt
trainfree,p4_ce_ple_128/occ_10000-99999,n_eval_tokens,243363,
trainfree,p4_ce_ple_128/occ_100000+,bpb,0.658958,ple_table_ce_ple_128.pt
trainfree,p4_ce_ple_128/occ_100000+,recovery_pct,100.66,ple_table_ce_ple_128.pt
trainfree,p4_ce_ple_128/occ_100000+,n_eval_tokens,684920,
trainfree,p4_seq_ple_512,bpb,0.843163,ple_table_seq_ple_512.pt
trainfree,p4_seq_ple_512,recovery_pct,91.8,ple_table_seq_ple_512.pt
trainfree,p4_seq_ple_512,n_eval_tokens,1048320,
trainfree,p4_seq_ple_512/occ_0,bpb,2.400888,ple_table_seq_ple_512.pt
trainfree,p4_seq_ple_512/occ_0,recovery_pct,16.83,ple_table_seq_ple_512.pt
trainfree,p4_seq_ple_512/occ_0,n_eval_tokens,1,
trainfree,p4_seq_ple_512/occ_1-9,bpb,1.214399,ple_table_seq_ple_512.pt
trainfree,p4_seq_ple_512/occ_1-9,recovery_pct,73.93,ple_table_seq_ple_512.pt
trainfree,p4_seq_ple_512/occ_1-9,n_eval_tokens,2,
trainfree,p4_seq_ple_512/occ_10-99,bpb,1.398838,ple_table_seq_ple_512.pt
trainfree,p4_seq_ple_512/occ_10-99,recovery_pct,65.06,ple_table_seq_ple_512.pt
trainfree,p4_seq_ple_512/occ_10-99,n_eval_tokens,79,
trainfree,p4_seq_ple_512/occ_100-999,bpb,1.134324,ple_table_seq_ple_512.pt
trainfree,p4_seq_ple_512/occ_100-999,recovery_pct,77.79,ple_table_seq_ple_512.pt
trainfree,p4_seq_ple_512/occ_100-999,n_eval_tokens,6268,
trainfree,p4_seq_ple_512/occ_1000-9999,bpb,1.274183,ple_table_seq_ple_512.pt
trainfree,p4_seq_ple_512/occ_1000-9999,recovery_pct,71.05,ple_table_seq_ple_512.pt
trainfree,p4_seq_ple_512/occ_1000-9999,n_eval_tokens,113687,
trainfree,p4_seq_ple_512/occ_10000-99999,bpb,1.128199,ple_table_seq_ple_512.pt
trainfree,p4_seq_ple_512/occ_10000-99999,recovery_pct,78.08,ple_table_seq_ple_512.pt
trainfree,p4_seq_ple_512/occ_10000-99999,n_eval_tokens,243363,
trainfree,p4_seq_ple_512/occ_100000+,bpb,0.66761,ple_table_seq_ple_512.pt
trainfree,p4_seq_ple_512/occ_100000+,recovery_pct,100.24,ple_table_seq_ple_512.pt
trainfree,p4_seq_ple_512/occ_100000+,n_eval_tokens,684920,
trainfree,calstack_norms_plus_ple_rfull,bpb,2.844982,calib_table_rfull_cal0.pt
trainfree,calstack_norms_plus_ple_rfull,recovery_pct,-4.54,calib_table_rfull_cal0.pt
trainfree,calstack_norms_plus_ple_rfull,n_eval_tokens,1048320,
trainfree,calstack_norms_plus_ple_rfull/occ_0,bpb,6.012263,calib_table_rfull_cal0.pt
trainfree,calstack_norms_plus_ple_rfull/occ_0,recovery_pct,-156.96,calib_table_rfull_cal0.pt
trainfree,calstack_norms_plus_ple_rfull/occ_0,n_eval_tokens,1,
trainfree,calstack_norms_plus_ple_rfull/occ_1-9,bpb,1.482137,calib_table_rfull_cal0.pt
trainfree,calstack_norms_plus_ple_rfull/occ_1-9,recovery_pct,61.05,calib_table_rfull_cal0.pt
trainfree,calstack_norms_plus_ple_rfull/occ_1-9,n_eval_tokens,2,
trainfree,calstack_norms_plus_ple_rfull/occ_10-99,bpb,4.24683,calib_table_rfull_cal0.pt
trainfree,calstack_norms_plus_ple_rfull/occ_10-99,recovery_pct,-72.0,calib_table_rfull_cal0.pt
trainfree,calstack_norms_plus_ple_rfull/occ_10-99,n_eval_tokens,79,
trainfree,calstack_norms_plus_ple_rfull/occ_100-999,bpb,4.141479,calib_table_rfull_cal0.pt
trainfree,calstack_norms_plus_ple_rfull/occ_100-999,recovery_pct,-66.93,calib_table_rfull_cal0.pt
