run,budget,regime,grain,policy,layer,set_coverage,mass_coverage
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,min_logit+tau*(2.0),13,0.30165,0.35415
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,min_logit+tau*(2.0),14,0.34582,0.40774
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,min_logit+tau*(2.0),all,0.22895,0.26551
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.5),2,0.45016,0.45449
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.5),3,0.47952,0.50028
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.5),4,0.48894,0.50781
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.5),5,0.50891,0.53051
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.5),6,0.54342,0.57801
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.5),7,0.57609,0.61782
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.5),8,0.59537,0.64763
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.5),9,0.61112,0.67572
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.5),10,0.66159,0.72084
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.5),11,0.67813,0.73613
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.5),12,0.66682,0.72644
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.5),13,0.65898,0.70888
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.5),14,0.69485,0.74085
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.5),all,0.58568,0.62657
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.9),2,0.38425,0.38874
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.9),3,0.40242,0.42393
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.9),4,0.40779,0.42609
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.9),5,0.41668,0.44034
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.9),6,0.43702,0.47553
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.9),7,0.45239,0.49977
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.9),8,0.46050,0.52065
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.9),9,0.46863,0.54406
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.9),10,0.49983,0.57344
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.9),11,0.50661,0.58238
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.9),12,0.50307,0.57770
