# expert output similarity per run and MoE layer (analysis/probes/expert_similarity.py, N sampled tokens from one cached test micro-batch, every routed expert evaluated on the same inputs, ungated, shared expert excluded); cos_* are mean cosines between expert outputs, relerr_* relative output differences, layer_relchange_* the relative change of the gated layer output when the displaced expert's output is swapped for the substitute's at the same gate, cos_weights the mean pairwise cosine of flattened expert weights; regime init = random initialisation of the same shape. Prediction test vs substitution_tolerance.csv: n_pair_layers=84; spearman_layerchange_gap_vs_subst_gap=0.094; spearman_cos_gap_vs_subst_gap=0.405; n_model_layers=168; spearman_layerchange_vs_subst_within_models=0.070. Producer analysis/residency/expert_similarity.py
run,budget,regime,grain,seed,experts,topk,n_tokens,layer,cos_all,cos_sel_nextbest,cos_sel_random,cos_sel_stale,cos_weights,cos_within_topk,frac_has_stale,layer_relchange_nextbest,layer_relchange_random,layer_relchange_stale,layer_relchange_zero,mean_gate_displaced,mean_out_norm,relerr_all,relerr_sel_nextbest,relerr_sel_random,relerr_sel_stale,tokens_sha256
flame38m_g1_temporal_s3,1e18,temporal,1,3,64,6,2048,8,0.02490,0.06882,0.03284,0.03495,0.00076,0.05906,0.99951,0.37020,0.35356,0.35695,0.28166,0.16741,0.47848,1.45274,1.45468,1.66044,1.62388,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_temporal_s3,1e18,temporal,1,3,64,6,2048,9,0.04407,0.11311,0.05320,0.06020,0.00091,0.09863,0.99805,0.32728,0.31470,0.31366,0.26311,0.16729,0.71559,1.47312,1.47310,1.79251,1.77050,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g3_moe,1e18,full,3,1,192,18,2048,2,0.03018,0.05875,0.01632,0.02665,0.00821,0.08281,1.00000,0.18482,0.19643,0.19576,0.13364,0.02389,1.46443,1.49541,1.47784,1.49352,1.48891,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g3_moe,1e18,full,3,1,192,18,2048,3,0.03465,0.05585,0.03003,0.03547,0.00627,0.07083,1.00000,0.19708,0.20007,0.20102,0.14122,0.02742,1.54473,1.46724,1.46278,1.50829,1.47707,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g3_moe,1e18,full,3,1,192,18,2048,4,0.03438,0.04892,0.03073,0.03718,0.00618,0.06158,1.00000,0.19672,0.19991,0.19834,0.14052,0.02700,1.72557,1.44571,1.44022,1.47433,1.45610,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g3_moe,1e18,full,3,1,192,18,2048,5,0.02198,0.03420,0.01593,0.01839,0.00664,0.04510,1.00000,0.20955,0.21048,0.21381,0.14939,0.02678,1.81605,1.45770,1.46818,1.50833,1.49104,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g3_moe,1e18,full,3,1,192,18,2048,6,0.02579,0.03522,0.01887,0.02193,0.00695,0.04302,1.00000,0.20886,0.20992,0.21065,0.15108,0.02610,1.98849,1.47720,1.48506,1.53762,1.50778,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g3_moe,1e18,full,3,1,192,18,2048,7,0.02365,0.03263,0.01487,0.01703,0.00732,0.04179,1.00000,0.20620,0.20279,0.20548,0.14754,0.02363,2.21624,1.48331,1.47590,1.55092,1.52272,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g3_moe,1e18,full,3,1,192,18,2048,8,0.02429,0.03782,0.01903,0.02419,0.00821,0.04870,1.00000,0.20479,0.20195,0.20275,0.14986,0.02334,2.53214,1.48571,1.49501,1.59936,1.55910,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g3_moe,1e18,full,3,1,192,18,2048,9,0.07985,0.07851,0.06032,0.06486,0.01012,0.09157,1.00000,0.16869,0.16481,0.16699,0.13210,0.01743,2.72873,1.43507,1.53688,1.66659,1.61773,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g3_moe_s2,1e18,full,3,2,192,18,2048,2,0.03100,0.06731,0.02092,0.02616,0.00766,0.09048,1.00000,0.18496,0.19565,0.19645,0.13269,0.02077,1.32059,1.46169,1.46796,1.48998,1.48104,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g3_moe_s2,1e18,full,3,2,192,18,2048,3,0.02934,0.05727,0.02317,0.02770,0.00578,0.07282,1.00000,0.19682,0.20473,0.20401,0.14241,0.02527,1.52843,1.50093,1.46334,1.49230,1.48897,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g3_moe_s2,1e18,full,3,2,192,18,2048,4,0.02335,0.04468,0.02174,0.02631,0.00574,0.05647,1.00000,0.20850,0.21597,0.21702,0.14804,0.02781,1.67098,1.47818,1.46172,1.49488,1.48062,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g3_moe_s2,1e18,full,3,2,192,18,2048,5,0.01901,0.02983,0.01533,0.01716,0.00612,0.03885,1.00000,0.21521,0.21963,0.22217,0.15148,0.02671,1.77653,1.47905,1.45729,1.48454,1.46466,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g3_moe_s2,1e18,full,3,2,192,18,2048,6,0.02364,0.03325,0.01495,0.01754,0.00645,0.04146,1.00000,0.21611,0.21830,0.21578,0.15470,0.02604,1.83958,1.47726,1.47616,1.51906,1.50936,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g3_moe_s2,1e18,full,3,2,192,18,2048,7,0.03020,0.04093,0.02274,0.02887,0.00724,0.05352,1.00000,0.20630,0.20605,0.20636,0.14902,0.02576,1.98724,1.46972,1.47531,1.53171,1.52238,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g3_moe_s2,1e18,full,3,2,192,18,2048,8,0.02640,0.03790,0.01944,0.02447,0.00947,0.05329,1.00000,0.19823,0.19494,0.19818,0.14502,0.02481,2.66704,1.47976,1.49708,1.59402,1.54453,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g3_moe_s2,1e18,full,3,2,192,18,2048,9,0.07415,0.06793,0.05179,0.05236,0.01190,0.08073,1.00000,0.17952,0.17377,0.17650,0.13850,0.01806,2.87189,1.45678,1.56687,1.69487,1.65788,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g3_moe_s3,1e18,full,3,3,192,18,2048,2,0.02656,0.05151,0.01899,0.02412,0.00704,0.07534,1.00000,0.18534,0.19199,0.19012,0.13407,0.02490,1.44091,1.47798,1.46738,1.51903,1.50951,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g3_moe_s3,1e18,full,3,3,192,18,2048,3,0.03549,0.05389,0.02713,0.03423,0.00622,0.06759,1.00000,0.19735,0.20155,0.20147,0.14230,0.02679,1.58604,1.45387,1.45437,1.48910,1.46936,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g3_moe_s3,1e18,full,3,3,192,18,2048,4,0.03267,0.05399,0.03076,0.03470,0.00654,0.06677,1.00000,0.19079,0.19445,0.19486,0.13662,0.02690,1.74899,1.46653,1.44068,1.48756,1.46993,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g3_moe_s3,1e18,full,3,3,192,18,2048,5,0.02651,0.04021,0.01936,0.02568,0.00609,0.05072,1.00000,0.20257,0.20369,0.20204,0.14471,0.02731,1.93067,1.47371,1.46327,1.50119,1.50144,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g3_moe_s3,1e18,full,3,3,192,18,2048,6,0.02086,0.03251,0.01365,0.01709,0.00696,0.04227,1.00000,0.21021,0.21221,0.21295,0.15066,0.02620,2.13986,1.47748,1.47434,1.51842,1.48979,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g3_moe_s3,1e18,full,3,3,192,18,2048,7,0.02249,0.03180,0.01637,0.01709,0.00740,0.03855,0.99951,0.21487,0.21086,0.21374,0.15421,0.02375,2.30369,1.48512,1.48543,1.56748,1.53777,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g3_moe_s3,1e18,full,3,3,192,18,2048,8,0.02526,0.03453,0.01741,0.02280,0.00898,0.04337,1.00000,0.21375,0.20946,0.21142,0.15643,0.02226,2.61642,1.47274,1.51499,1.60017,1.57568,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
