run,budget,regime,grain,resident_cache_K_over_k,hit_rate,mean_lifetime_tokens
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,8.778,0.91249,208.433
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,9.333,0.93884,262.489
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,9.889,0.96544,379.645
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,10.444,0.99071,843.146
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,1.000,0.29414,17.852
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,1.556,0.37485,27.660
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,2.111,0.43994,37.452
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,2.667,0.49738,47.218
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,3.222,0.55059,57.024
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,3.778,0.59816,66.941
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,4.333,0.64219,76.998
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,4.889,0.68435,87.496
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,5.444,0.72508,98.862
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,6.000,0.76247,111.287
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,6.556,0.79790,125.818
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,7.111,0.83264,143.787
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,7.667,0.86467,166.583
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,8.222,0.89516,199.080
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,8.778,0.92376,246.945
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,9.333,0.95017,331.674
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,9.889,0.97375,498.745
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,10.444,0.99375,1055.891
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,1.000,0.28491,17.852
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,1.556,0.36111,27.636
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,2.111,0.42486,37.336
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,2.667,0.48231,46.959
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,3.222,0.53553,56.561
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,3.778,0.58436,66.212
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,4.333,0.63034,76.060
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,4.889,0.67193,86.258
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,5.444,0.71385,97.218
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,6.000,0.75255,109.501
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,6.556,0.78908,123.511
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,7.111,0.82509,140.669
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,7.667,0.85873,163.796
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,8.222,0.89047,194.937
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,8.778,0.92038,242.962
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,9.333,0.94726,320.129
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,9.889,0.97231,484.101
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,10.444,0.99307,1007.072
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,1.000,0.29672,17.852
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,1.556,0.38447,27.664
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,2.111,0.45257,37.477
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,2.667,0.51182,47.263
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,3.222,0.56636,57.059
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,3.778,0.61346,66.923
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,4.333,0.65761,77.041
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,4.889,0.69858,87.463
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,5.444,0.73670,98.583
