run,layer,expert,out_l2_mean,sel_count,interm_max,interm_kurt,rlogit_mean,rlogit_std,rlogit_mean_res,rlogit_mean_nonres,gate_mean,gate_std
g1_moe,2,24,0.875054,6238,4.4375,1.30383,-4.98955,1.23681,,,0.137862,0.0991272
g1_moe,2,25,0.710882,5991,4.6875,2.40149,-5.10569,1.14306,,,0.158497,0.101253
g1_moe,2,26,0.916336,5876,4.0625,0.850928,-5.20409,1.15868,,,0.136818,0.0934964
g1_moe,2,27,0.7634,5821,4.75,1.29664,-5.01159,1.15874,,,0.182632,0.109435
g1_moe,2,28,0.919152,6291,4.75,0.924193,-5.08014,1.23474,,,0.145114,0.0947174
g1_moe,2,29,0.815682,6596,4.4375,0.798353,-4.84199,1.08866,,,0.134794,0.0815396
g1_moe,2,30,0.904389,5546,4.40625,1.08532,-5.29253,1.26209,,,0.173771,0.117864
g1_moe,2,31,0.909428,5466,4.4375,0.723056,-5.19185,1.19018,,,0.149878,0.101209
g1_moe,2,32,0.878463,6443,4.28125,0.722654,-5.45722,1.44019,,,0.149576,0.0941038
g1_moe,2,33,0.673241,6212,4.6875,1.78089,-4.83694,0.970457,,,0.132575,0.0726098
g1_moe,2,34,0.954689,5448,4.96875,0.756752,-5.06228,1.21399,,,0.201988,0.13603
g1_moe,2,35,0.850782,6850,4.34375,0.690552,-5.05526,1.27659,,,0.141432,0.093736
g1_moe,2,36,0.882536,6122,4.375,1.02435,-4.91601,1.01525,,,0.117507,0.085523
g1_moe,2,37,0.858592,5932,4.6875,0.680285,-5.14772,1.27835,,,0.151135,0.107093
g1_moe,2,38,0.840649,5437,4.59375,0.926386,-4.74649,0.995629,,,0.176964,0.159486
g1_moe,2,39,0.872898,6353,4.1875,0.580273,-4.84505,1.15499,,,0.150048,0.102843
g1_moe,2,40,0.524037,6501,3.95312,1.79665,-5.04038,1.2515,,,0.320126,0.153597
g1_moe,2,41,0.832623,6525,4.4375,1.01058,-5.28835,1.3568,,,0.151359,0.102226
g1_moe,2,42,0.888468,5610,4.15625,0.721338,-5.13052,1.23462,,,0.175753,0.118702
g1_moe,2,43,0.793359,5683,4.5625,0.882607,-4.80701,1.01184,,,0.198665,0.144066
g1_moe,2,44,0.923216,5747,4.5625,0.768657,-5.14663,1.24723,,,0.195892,0.135402
g1_moe,2,45,0.881241,6658,4.03125,0.766384,-5.18629,1.2868,,,0.173283,0.096985
g1_moe,2,46,0.937587,7742,4.625,1.26027,-4.80358,1.08224,,,0.146492,0.0814841
g1_moe,2,47,0.854016,5737,4.375,1.03198,-5.10356,1.16486,,,0.198284,0.134437
g1_moe,2,48,0.852577,7768,4.53125,1.50866,-4.89781,1.2178,,,0.144943,0.1065
g1_moe,2,49,0.76031,5440,4.53125,1.31714,-4.86783,1.02054,,,0.165921,0.111211
g1_moe,2,50,0.91593,5617,4.1875,0.885819,-4.92161,1.09053,,,0.193255,0.136639
g1_moe,2,51,0.733027,6661,4.34375,1.01606,-4.8592,1.13608,,,0.181776,0.162963
g1_moe,2,52,0.671224,6979,4.28125,0.532705,-4.25203,0.909739,,,0.231884,0.212571
g1_moe,2,53,0.920411,6090,4.34375,0.885934,-5.7153,1.62,,,0.198742,0.132521
g1_moe,2,54,0.951237,6006,5.53125,1.17078,-5.162,1.26583,,,0.182915,0.127072
g1_moe,2,55,0.742343,6037,3.95312,0.811836,-4.69863,1.03017,,,0.218545,0.18462
g1_moe,2,56,0.756769,5867,5.84375,2.27386,-4.95318,1.07276,,,0.214438,0.124648
