run,iteration,train_lm_loss,final_test_ce,seed
flame512_g1_temporal,20,8.205180E+00,,1234
flame512_g1_temporal,25,7.655453E+00,,1234
flame512_g1_temporal,30,7.292442E+00,,1234
flame512_g1_temporal,35,7.082172E+00,,1234
flame512_g1_temporal,40,6.905082E+00,,1234
flame512_g1_temporal,45,6.752705E+00,,1234
flame512_g1_temporal,50,6.631860E+00,,1234
flame512_g1_temporal,55,6.504251E+00,,1234
flame512_g1_temporal,60,6.425756E+00,,1234
flame512_g1_temporal,65,6.355088E+00,,1234
flame512_g1_temporal,70,6.313411E+00,,1234
flame512_g1_temporal,75,6.255165E+00,,1234
flame512_g1_temporal,80,6.205501E+00,,1234
flame512_g1_temporal,85,6.162397E+00,,1234
flame512_g1_temporal,90,6.116432E+00,,1234
flame512_g1_temporal,95,6.084064E+00,,1234
flame512_g1_temporal,100,6.042318E+00,,1234
flame512_g1_temporal,105,5.996730E+00,,1234
flame512_g1_temporal,110,5.954991E+00,,1234
flame512_g1_temporal,115,5.915067E+00,,1234
flame512_g1_temporal,120,5.884276E+00,,1234
flame512_g1_temporal,125,5.858620E+00,,1234
flame512_g1_temporal,130,5.809692E+00,,1234
flame512_g1_temporal,135,5.763676E+00,,1234
flame512_g1_temporal,140,5.743263E+00,,1234
flame512_g1_temporal,145,5.711893E+00,,1234
flame512_g1_temporal,150,5.673112E+00,,1234
flame512_g1_temporal,155,5.646612E+00,,1234
flame512_g1_temporal,160,5.613692E+00,,1234
flame512_g1_temporal,165,5.579953E+00,,1234
flame512_g1_temporal,170,5.549737E+00,,1234
flame512_g1_temporal,175,5.527388E+00,,1234
flame512_g1_temporal,180,5.495253E+00,,1234
flame512_g1_temporal,185,5.460384E+00,,1234
flame512_g1_temporal,190,5.466601E+00,,1234
flame512_g1_temporal,195,5.438546E+00,,1234
flame512_g1_temporal,200,5.395935E+00,,1234
flame512_g1_temporal,205,5.349516E+00,,1234
flame512_g1_temporal,210,5.343614E+00,,1234
flame512_g1_temporal,215,5.316286E+00,,1234
flame512_g1_temporal,220,5.310547E+00,,1234
flame512_g1_temporal,225,5.266886E+00,,1234
flame512_g1_temporal,230,5.237401E+00,,1234
flame512_g1_temporal,235,5.221165E+00,,1234
flame512_g1_temporal,240,5.204697E+00,,1234
