run,layer,expert,resident_frac,selected_frac
g1_temporal,8,46,0.115356,0.114792
g1_temporal,8,47,0.084030,0.099777
g1_temporal,8,48,0.110764,0.112457
g1_temporal,8,49,0.081848,0.082886
g1_temporal,8,50,0.114182,0.096710
g1_temporal,8,51,0.098068,0.088654
g1_temporal,8,52,0.080460,0.079910
g1_temporal,8,53,0.118820,0.106461
g1_temporal,8,54,0.079391,0.071625
g1_temporal,8,55,0.111115,0.102798
g1_temporal,8,56,0.086975,0.083405
g1_temporal,8,57,0.110428,0.110046
g1_temporal,8,58,0.072495,0.069107
g1_temporal,8,59,0.075470,0.074005
g1_temporal,8,60,0.101349,0.105698
g1_temporal,8,61,0.078568,0.091339
g1_temporal,8,62,0.048508,0.056030
g1_temporal,8,63,0.102722,0.075943
g3_temporal,1,0,0.103073,0.128372
g3_temporal,1,1,0.110519,0.096848
g3_temporal,1,2,0.059082,0.037109
g3_temporal,1,3,0.073227,0.103439
g3_temporal,1,4,0.116516,0.150940
g3_temporal,1,5,0.073105,0.086227
g3_temporal,1,6,0.124573,0.046066
g3_temporal,1,7,0.085358,0.121994
g3_temporal,1,8,0.096481,0.086563
g3_temporal,1,9,0.096222,0.087173
g3_temporal,1,10,0.118469,0.106583
g3_temporal,1,11,0.105240,0.039398
g3_temporal,1,12,0.083832,0.102875
g3_temporal,1,13,0.091309,0.070251
g3_temporal,1,14,0.101898,0.156326
g3_temporal,1,15,0.099426,0.106812
g3_temporal,1,16,0.058472,0.101013
g3_temporal,1,17,0.102173,0.082062
g3_temporal,1,18,0.103409,0.020111
g3_temporal,1,19,0.096619,0.110916
g3_temporal,1,20,0.088745,0.124817
g3_temporal,1,21,0.117676,0.174774
g3_temporal,1,22,0.132751,0.134918
g3_temporal,1,23,0.067566,0.066727
g3_temporal,1,24,0.087784,0.136627
g3_temporal,1,25,0.073212,0.028275
g3_temporal,1,26,0.084366,0.097534
g3_temporal,1,27,0.085938,0.086594
g3_temporal,1,28,0.136520,0.167770
g3_temporal,1,29,0.093430,0.134460
g3_temporal,1,30,0.094620,0.109085
g3_temporal,1,31,0.122925,0.142517
g3_temporal,1,32,0.102402,0.099640
g3_temporal,1,33,0.082718,0.110107
g3_temporal,1,34,0.106781,0.072342
g3_temporal,1,35,0.085846,0.093964
g3_temporal,1,36,0.093262,0.101196
g3_temporal,1,37,0.090302,0.130173
g3_temporal,1,38,0.076324,0.080612
g3_temporal,1,39,0.059555,0.071625
g3_temporal,1,40,0.106842,0.023956
g3_temporal,1,41,0.073044,0.046463
g3_temporal,1,42,0.100677,0.112076
g3_temporal,1,43,0.084351,0.141647
g3_temporal,1,44,0.079651,0.108383
g3_temporal,1,45,0.127487,0.130966
g3_temporal,1,46,0.096451,0.048111
g3_temporal,1,47,0.085938,0.024612
g3_temporal,1,48,0.100891,0.102310
g3_temporal,1,49,0.084549,0.107254
g3_temporal,1,50,0.092682,0.078186
g3_temporal,1,51,0.047745,0.065552
g3_temporal,1,52,0.080185,0.098648
g3_temporal,1,53,0.091049,0.094849
g3_temporal,1,54,0.091019,0.095520
g3_temporal,1,55,0.098587,0.085754
g3_temporal,1,56,0.098083,0.130661
g3_temporal,1,57,0.071579,0.115799
g3_temporal,1,58,0.076675,0.091217
g3_temporal,1,59,0.098877,0.015518
g3_temporal,1,60,0.110931,0.120056
g3_temporal,1,61,0.084076,0.101868
g3_temporal,1,62,0.094727,0.066315
g3_temporal,1,63,0.104919,0.124725
g3_temporal,1,64,0.091614,0.126526
g3_temporal,1,65,0.095993,0.123062
g3_temporal,1,66,0.104767,0.060532
g3_temporal,1,67,0.155777,0.102615
g3_temporal,1,68,0.059265,0.039917
g3_temporal,1,69,0.095123,0.125336
g3_temporal,1,70,0.082657,0.087585
g3_temporal,1,71,0.092575,0.054932
g3_temporal,1,72,0.097672,0.052444
g3_temporal,1,73,0.067932,0.039520
g3_temporal,1,74,0.098572,0.115128
g3_temporal,1,75,0.082367,0.096741
g3_temporal,1,76,0.112473,0.059219
g3_temporal,1,77,0.106842,0.060226
g3_temporal,1,78,0.090012,0.123367
g3_temporal,1,79,0.091660,0.167526
g3_temporal,1,80,0.109772,0.103592
g3_temporal,1,81,0.080704,0.127701
g3_temporal,1,82,0.133148,0.127960
g3_temporal,1,83,0.096985,0.094086
g3_temporal,1,84,0.092834,0.070419
g3_temporal,1,85,0.093842,0.120697
g3_temporal,1,86,0.073730,0.101257
g3_temporal,1,87,0.092987,0.076859
g3_temporal,1,88,0.086792,0.077240
g3_temporal,1,89,0.092285,0.144806
g3_temporal,1,90,0.092758,0.091125
g3_temporal,1,91,0.102448,0.104599
g3_temporal,1,92,0.148819,0.100128
g3_temporal,1,93,0.116150,0.139282
g3_temporal,1,94,0.081482,0.134949
g3_temporal,1,95,0.103790,0.103622
g3_temporal,1,96,0.136734,0.136429
g3_temporal,1,97,0.081299,0.083618
g3_temporal,1,98,0.123398,0.110382
g3_temporal,1,99,0.094376,0.041946
g3_temporal,1,100,0.130325,0.089859
g3_temporal,1,101,0.092545,0.037170
