label,run,layer,expert,variant,n_tokens,eff_vocab,dispersion
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,99,weighted,15456,15474.4,0.9474
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,99,static,15456,15985.2,0.9131
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,100,weighted,11733,14879.6,0.9233
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,100,static,11733,15983.2,0.9148
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,101,weighted,11072,15244.2,0.9443
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,101,static,11072,15982.2,0.8964
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,102,weighted,12154,14452.5,0.9337
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,102,static,12154,15989.4,0.9437
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,103,weighted,12016,15650.6,0.9324
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,103,static,12016,15973.0,0.876
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,104,weighted,11126,14139.2,0.7865
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,104,static,11126,15989.0,0.854
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,105,weighted,12476,14758.5,0.9003
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,105,static,12476,15992.3,0.9085
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,106,weighted,13083,15455.4,0.8882
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,106,static,13083,15985.4,0.8879
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,107,weighted,13087,15478.5,0.915
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,107,static,13087,15986.9,0.8638
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,108,weighted,12951,15240.8,0.9105
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,108,static,12951,15984.1,0.8802
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,109,weighted,13198,15669.2,0.8945
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,109,static,13198,15985.9,0.9042
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,110,weighted,13710,15359.9,0.9404
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,110,static,13710,15986.5,0.8712
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,111,weighted,11553,15426.6,0.8981
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,111,static,11553,15978.3,0.9004
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,112,weighted,9052,15351.6,0.9047
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,112,static,9052,15976.8,0.879
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,113,weighted,11727,15632.6,0.8975
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,113,static,11727,15984.7,0.9059
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,114,weighted,10818,15374.6,0.886
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,114,static,10818,15978.7,0.9004
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,115,weighted,11636,15476.3,0.9377
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,115,static,11636,15982.5,0.9133
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,116,weighted,12105,15249.3,0.9336
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,116,static,12105,15978.9,0.9298
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,117,weighted,12169,15434.3,0.9466
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,117,static,12169,15985.3,0.8963
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,118,weighted,11460,15093.0,0.8775
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,118,static,11460,15985.5,0.914
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,119,weighted,14887,15454.2,0.9177
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,119,static,14887,15983.8,0.9342
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,120,weighted,14253,15035.8,0.9363
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,120,static,14253,15984.8,0.9193
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,121,weighted,14420,15080.4,0.9279
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,121,static,14420,15976.5,0.8878
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,122,weighted,12345,15709.2,0.9112
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,122,static,12345,15981.6,0.8683
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,123,weighted,13057,15219.7,0.8954
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,123,static,13057,15987.7,0.9208
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,124,weighted,14618,15451.8,0.9223
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,124,static,14618,15982.0,0.8866
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,125,weighted,10814,14644.5,0.9241
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,125,static,10814,15983.9,0.9024
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,126,weighted,11016,14348.2,0.8806
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,126,static,11016,15975.9,0.8362
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,127,weighted,12706,14596.7,0.9174
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,127,static,12706,15984.1,0.9094
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,128,weighted,15108,14793.8,0.9479
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,128,static,15108,15984.9,0.9329
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,129,weighted,11884,14367.9,0.9273
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,129,static,11884,15985.3,0.8931
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,130,weighted,12102,15308.1,0.8948
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,130,static,12102,15985.4,0.8995
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,131,weighted,13945,15433.6,0.9326
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,131,static,13945,15984.7,0.8813
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,132,weighted,10754,15781.6,0.8924
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,132,static,10754,15982.4,0.9259
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,133,weighted,9594,15817.6,0.9358
