label,run,layer,expert,eff_vocab,semantic_dispersion
s0_TEMPORAL,g3_tmoe_s0_1e16,2,36,15988.87,0.876
s0_TEMPORAL,g3_tmoe_s0_1e16,2,37,15986.53,0.9143
s0_TEMPORAL,g3_tmoe_s0_1e16,2,38,15992.18,0.9064
s0_TEMPORAL,g3_tmoe_s0_1e16,2,39,15990.0,0.8859
s0_TEMPORAL,g3_tmoe_s0_1e16,2,40,15992.02,0.8472
s0_TEMPORAL,g3_tmoe_s0_1e16,2,41,15985.18,0.9048
s0_TEMPORAL,g3_tmoe_s0_1e16,2,42,15992.44,0.9047
s0_TEMPORAL,g3_tmoe_s0_1e16,2,43,15981.98,0.881
s0_TEMPORAL,g3_tmoe_s0_1e16,2,44,15988.16,0.8985
s0_TEMPORAL,g3_tmoe_s0_1e16,2,45,15988.4,0.9175
s0_TEMPORAL,g3_tmoe_s0_1e16,2,46,15994.26,0.9016
s0_TEMPORAL,g3_tmoe_s0_1e16,2,47,15995.45,0.891
s0_TEMPORAL,g3_tmoe_s0_1e16,2,48,15995.57,0.873
s0_TEMPORAL,g3_tmoe_s0_1e16,2,49,15989.39,0.8736
s0_TEMPORAL,g3_tmoe_s0_1e16,2,50,15985.02,0.8796
s0_TEMPORAL,g3_tmoe_s0_1e16,2,51,15982.14,0.8935
s0_TEMPORAL,g3_tmoe_s0_1e16,2,52,15991.3,0.8866
s0_TEMPORAL,g3_tmoe_s0_1e16,2,53,15991.63,0.8488
s0_TEMPORAL,g3_tmoe_s0_1e16,2,54,15985.98,0.8796
s0_TEMPORAL,g3_tmoe_s0_1e16,2,55,15994.35,0.9209
s0_TEMPORAL,g3_tmoe_s0_1e16,2,56,15990.75,0.883
s0_TEMPORAL,g3_tmoe_s0_1e16,2,57,15984.97,0.7987
s0_TEMPORAL,g3_tmoe_s0_1e16,2,58,15988.72,0.9022
s0_TEMPORAL,g3_tmoe_s0_1e16,2,59,15989.62,0.9074
s0_TEMPORAL,g3_tmoe_s0_1e16,2,60,15988.16,0.8761
s0_TEMPORAL,g3_tmoe_s0_1e16,2,61,15991.56,0.8601
s0_TEMPORAL,g3_tmoe_s0_1e16,2,62,15986.11,0.9196
s0_TEMPORAL,g3_tmoe_s0_1e16,2,63,15988.8,0.8775
