panel,token,expert,num_experts_E,topk_k,moe_layer
full MoE  (top-k),72,57,64,6,7
full MoE  (top-k),73,16,64,6,7
full MoE  (top-k),73,18,64,6,7
full MoE  (top-k),73,52,64,6,7
full MoE  (top-k),73,54,64,6,7
full MoE  (top-k),73,56,64,6,7
full MoE  (top-k),73,63,64,6,7
full MoE  (top-k),74,8,64,6,7
full MoE  (top-k),74,18,64,6,7
full MoE  (top-k),74,50,64,6,7
full MoE  (top-k),74,54,64,6,7
full MoE  (top-k),74,57,64,6,7
full MoE  (top-k),74,63,64,6,7
full MoE  (top-k),75,8,64,6,7
full MoE  (top-k),75,18,64,6,7
full MoE  (top-k),75,31,64,6,7
full MoE  (top-k),75,52,64,6,7
full MoE  (top-k),75,56,64,6,7
full MoE  (top-k),75,63,64,6,7
full MoE  (top-k),76,8,64,6,7
full MoE  (top-k),76,9,64,6,7
full MoE  (top-k),76,18,64,6,7
full MoE  (top-k),76,52,64,6,7
full MoE  (top-k),76,56,64,6,7
full MoE  (top-k),76,63,64,6,7
full MoE  (top-k),77,8,64,6,7
full MoE  (top-k),77,19,64,6,7
full MoE  (top-k),77,24,64,6,7
full MoE  (top-k),77,25,64,6,7
full MoE  (top-k),77,30,64,6,7
full MoE  (top-k),77,59,64,6,7
full MoE  (top-k),78,1,64,6,7
full MoE  (top-k),78,3,64,6,7
full MoE  (top-k),78,15,64,6,7
full MoE  (top-k),78,34,64,6,7
full MoE  (top-k),78,43,64,6,7
full MoE  (top-k),78,49,64,6,7
full MoE  (top-k),79,9,64,6,7
full MoE  (top-k),79,11,64,6,7
full MoE  (top-k),79,15,64,6,7
full MoE  (top-k),79,31,64,6,7
full MoE  (top-k),79,33,64,6,7
full MoE  (top-k),79,61,64,6,7
full MoE  (top-k),80,4,64,6,7
full MoE  (top-k),80,6,64,6,7
full MoE  (top-k),80,39,64,6,7
full MoE  (top-k),80,45,64,6,7
full MoE  (top-k),80,49,64,6,7
full MoE  (top-k),80,62,64,6,7
full MoE  (top-k),81,3,64,6,7
full MoE  (top-k),81,13,64,6,7
full MoE  (top-k),81,20,64,6,7
full MoE  (top-k),81,34,64,6,7
full MoE  (top-k),81,35,64,6,7
full MoE  (top-k),81,49,64,6,7
full MoE  (top-k),82,2,64,6,7
full MoE  (top-k),82,9,64,6,7
full MoE  (top-k),82,20,64,6,7
full MoE  (top-k),82,27,64,6,7
full MoE  (top-k),82,28,64,6,7
full MoE  (top-k),82,47,64,6,7
full MoE  (top-k),83,9,64,6,7
full MoE  (top-k),83,16,64,6,7
full MoE  (top-k),83,18,64,6,7
full MoE  (top-k),83,22,64,6,7
full MoE  (top-k),83,41,64,6,7
full MoE  (top-k),83,51,64,6,7
full MoE  (top-k),84,3,64,6,7
full MoE  (top-k),84,9,64,6,7
full MoE  (top-k),84,20,64,6,7
full MoE  (top-k),84,23,64,6,7
full MoE  (top-k),84,50,64,6,7
full MoE  (top-k),84,60,64,6,7
full MoE  (top-k),85,8,64,6,7
full MoE  (top-k),85,19,64,6,7
full MoE  (top-k),85,20,64,6,7
full MoE  (top-k),85,24,64,6,7
full MoE  (top-k),85,25,64,6,7
full MoE  (top-k),85,36,64,6,7
full MoE  (top-k),86,9,64,6,7
full MoE  (top-k),86,16,64,6,7
full MoE  (top-k),86,22,64,6,7
full MoE  (top-k),86,23,64,6,7
full MoE  (top-k),86,26,64,6,7
full MoE  (top-k),86,32,64,6,7
full MoE  (top-k),87,2,64,6,7
full MoE  (top-k),87,9,64,6,7
full MoE  (top-k),87,23,64,6,7
full MoE  (top-k),87,28,64,6,7
full MoE  (top-k),87,42,64,6,7
full MoE  (top-k),87,60,64,6,7
full MoE  (top-k),88,0,64,6,7
full MoE  (top-k),88,19,64,6,7
full MoE  (top-k),88,22,64,6,7
full MoE  (top-k),88,53,64,6,7
full MoE  (top-k),88,54,64,6,7
full MoE  (top-k),88,55,64,6,7
full MoE  (top-k),89,9,64,6,7
full MoE  (top-k),89,22,64,6,7
full MoE  (top-k),89,32,64,6,7
full MoE  (top-k),89,41,64,6,7
full MoE  (top-k),89,46,64,6,7
full MoE  (top-k),89,61,64,6,7
full MoE  (top-k),90,4,64,6,7
full MoE  (top-k),90,6,64,6,7
full MoE  (top-k),90,10,64,6,7
full MoE  (top-k),90,44,64,6,7
full MoE  (top-k),90,52,64,6,7
full MoE  (top-k),90,62,64,6,7
full MoE  (top-k),91,4,64,6,7
full MoE  (top-k),91,6,64,6,7
full MoE  (top-k),91,7,64,6,7
full MoE  (top-k),91,10,64,6,7
full MoE  (top-k),91,45,64,6,7
full MoE  (top-k),91,62,64,6,7
full MoE  (top-k),92,12,64,6,7
full MoE  (top-k),92,20,64,6,7
full MoE  (top-k),92,48,64,6,7
full MoE  (top-k),92,50,64,6,7
full MoE  (top-k),92,57,64,6,7
full MoE  (top-k),92,60,64,6,7
